t,Antenna ID,Event Code,Device ID,x,y, Tile ID
0,40,0,536,5098.223558,2549.454551,420
0,26,0,144,3242.019095,4314.583319,692
0,40,0,537,5098.223558,2549.454551,420
0,68,0,248,8437.374253,4983.606809,793
0,70,0,519,8842.170618,7079.269602,1155
0,28,0,659,3689.409648,7361.768920,1174
0,54,0,163,9017.539433,3746.655406,596
0,29,0,487,5463.954311,6077.531186,981
0,29,0,758,4536.118613,6498.871276,1018
0,38,0,244,3902.733863,3678.511203,575
0,34,0,97,9507.777857,9065.432083,1478
0,46,0,263,5938.680471,2409.256281,383
0,66,0,334,4871.884751,3855.272343,619
0,27,0,290,2874.550418,2558.344447,411
0,39,0,466,6065.613092,1692.870750,264
0,56,0,717,9314.847895,2557.750743,437
0,29,0,424,4584.382154,5835.551641,938
0,21,0,107,207.081110,6279.955198,1000
0,36,0,191,7312.391328,7577.025748,1229
0,44,0,628,6823.138275,2703.665304,427
0,53,0,463,7311.839855,3556.102949,589
0,53,0,379,7682.921362,3692.444331,590
0,53,0,594,7669.466056,3237.585852,510
0,63,0,146,5229.266618,1782.405177,300
0,49,0,381,4699.591824,537.373131,98
0,56,0,669,9731.452075,2430.671093,398
0,48,0,471,3860.602939,2728.897032,415
0,35,0,132,9206.237596,9856.911809,1596
0,46,0,218,6254.290960,2018.100601,345
0,63,0,256,4417.187876,1430.092339,217
0,42,0,377,8258.523021,5908.276934,953
0,50,0,124,9849.828134,925.069564,159
0,67,0,237,9136.211246,5297.134089,876
0,56,0,197,9078.043418,1907.877453,316
0,13,0,501,634.804829,3776.365266,602
0,27,0,291,2874.550418,2558.344447,411
0,25,0,609,1616.188696,4127.781067,646
0,43,0,623,9459.771007,5189.486096,837
0,65,0,361,6541.183952,4859.360918,786
0,37,0,452,1337.959814,2245.175692,325
0,50,0,206,9929.288675,1004.696988,199
0,61,0,80,8419.141600,1926.630961,313
0,34,0,408,8740.673835,8420.079359,1354
0,25,0,316,1171.694364,3108.732546,484
0,26,0,515,2642.199128,3343.833486,530
0,38,0,673,4442.698549,3128.609921,497
0,23,0,103,1229.554089,4398.194260,684
0,54,0,685,8477.630687,3563.699834,593
0,23,0,220,472.071622,4877.408297,761
0,34,0,309,8489.004477,8178.622276,1313
0,26,0,445,3051.581634,3366.625606,532
0,23,0,478,53.950745,5097.797083,800
0,38,0,388,3801.941749,3364.157938,535
0,37,0,637,1387.050310,2529.863261,405
0,45,0,348,6032.384061,3597.059812,584
0,25,0,621,2147.669393,4222.158415,648
0,63,0,589,4360.995295,1734.122725,257
0,32,0,188,7295.853526,8882.546361,1429
0,11,0,404,8776.556008,2994.629394,475
0,42,0,504,8656.243847,5710.015983,914
0,25,0,359,1599.165746,3602.046542,566
0,37,0,564,2019.130033,2404.880176,368
0,44,0,627,6823.138275,2703.665304,427
0,61,0,366,8694.108146,2486.618959,394
0,19,0,640,1000.853918,7562.861486,1204
0,17,0,203,4484.496319,9319.556682,1497
0,67,0,455,9245.531690,5888.385095,956
0,19,0,201,741.931440,8371.857592,1322
0,15,0,100,6747.720775,2245.533419,346
0,37,0,638,1387.050310,2529.863261,405
0,23,0,319,1215.827888,4642.626906,724
0,25,0,299,2286.610841,2943.951816,449
0,69,0,181,5067.315847,5397.313679,860
